T_degC,Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
14.88,33.55,5.85,20,1318.0,16.0,16.5,14.9,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
5.35,34.159,0.64,512,4103.0,18.0,14.4,12.4,,,,
8.72,33.961,3.39,200,4156.0,18.0,17.2,14.8,,,,
15.73,33.575,5.68,95,4104.0,3.0,16.5,13.7,,,,
16.51,33.392,6.01,0,28.0,1.0,15.0,11.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,1km to 2km
14.25,33.374,6.04,5,23.0,14.0,20.0,12.0,,,,
6.55,34.231,0.68,512,560.0,10.0,18.6,16.8,Continuous blowing snow,Stratus,10/10,10km to 20km
8.669,34.0015,2.146,150,302.0,9.0,12.8,12.2,,,,
14.531,33.3188,5.212,40,618.0,8.0,15.0,13.2,Partly Cloudy,Cirrostratus,2/10 to 3/10,10km to 20km
14.9,33.379,5.91,100,,5.0,17.9,15.0,,,,
16.37,33.247,5.67,30,4061.0,19.0,15.0,11.9,,,,
13.84,33.375,6.16,2,1652.0,5.0,16.0,12.9,,,,
18.19,32.835,5.47,20,4055.0,8.0,18.6,18.0,,,,
12.88,33.521,4.56,75,102.0,16.0,17.0,15.1,,,,
14.18,33.477,6.23,1,92.0,8.0,14.0,12.0,,,,
9.5,33.941,2.41,119,1198.0,14.0,14.9,13.2,Clear,,Zero,10km to 20km
10.99,33.462,4.64,150,4011.0,18.0,15.0,12.2,,,,
12.09,33.551,5.39,145,4170.0,2.0,18.8,15.5,,,,
13.71,33.166,6.06,10,1388.0,8.0,14.8,14.1,,,,
14.12,33.364,6.4,2,20.0,6.0,13.5,11.0,,,,
9.57,33.857,3.23,100,1315.0,20.0,17.0,15.5,Partly Cloudy,Cumulus,1/10 or less but not zero,4km to 10km
11.48,33.634,4.04,60,859.0,9.0,15.4,13.5,,,,
9.254,33.8183,3.306,200,4312.0,17.0,18.0,16.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
6.39,34.102,1.31,400,3935.0,18.0,15.4,14.3,,,,
14.13,33.54,6.17,20,391.0,8.0,16.1,14.3,,,,
6.57,34.153,1.01,437,4227.0,21.0,13.7,10.9,,,,
9.56,33.834,3.49,200,4020.0,8.0,18.0,15.3,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
15.599,33.5678,6.495,6,55.0,4.0,16.2,15.4,Drizzle,Stratus,10/10,10km to 20km
7.88,34.21,1.0,270,3842.0,13.0,13.8,12.7,Clear,,Zero,Less than 50m
10.33,33.765,3.05,49,132.0,,11.5,10.2,Partly Cloudy,Stratus,1/10 or less but not zero,4km to 10km
6.14,34.333,0.31,500,3837.0,5.0,16.0,12.2,,,,
7.54,34.116,1.66,268,4012.0,20.0,17.2,16.0,Partly Cloudy,Cumulus,9/10 or more but not 10/10,20km to 50km
10.52,33.533,4.23,61,1639.0,15.0,16.8,15.8,,,,
12.487,33.5476,4.411,60,99.0,24.0,15.4,14.0,,,,
10.53,33.575,4.03,101,869.0,6.0,20.3,19.5,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
16.38,33.19,5.8,0,4266.0,17.0,17.1,17.1,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
10.07,33.951,2.33,85,847.0,1.0,14.8,13.1,Continuous blowing snow,Stratus,10/10,10km to 20km
15.39,33.332,5.81,10,4136.0,24.0,15.1,13.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
15.62,33.509,5.59,100,4074.0,7.0,15.4,11.9,,,,
15.03,33.753,3.98,100,634.0,10.0,18.0,15.3,Partly Cloudy,Cirrus,5/10,20km to 50km
8.29,34.058,2.15,200,3942.0,5.0,17.3,14.2,,,,
18.62,33.259,5.55,30,4446.0,24.0,18.0,15.6,,,,
18.62,33.71,5.55,0,1654.0,8.0,16.6,15.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,20km to 50km
10.02,33.287,4.96,124,4191.0,13.0,15.6,11.5,Partly Cloudy,Stratocumulus,4/10,20km to 50km
12.7,33.27,5.61,101,4186.0,4.0,17.2,16.2,,,,
12.26,33.688,4.9,150,4274.0,23.0,19.9,18.0,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
15.16,33.049,5.97,41,3775.0,9.0,18.9,15.7,,,,
12.9,33.541,6.07,11,71.0,15.0,14.0,11.0,,,,
14.1,33.307,5.57,30,83.0,30.0,14.3,12.2,,,,
11.92,33.086,5.4,75,4123.0,12.0,20.1,19.9,,,,
9.27,33.792,3.43,140,1203.0,22.0,14.0,12.6,,,,
5.74,34.26,0.36,500,1296.0,0.0,18.1,16.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
8.65,34.05,2.73,206,1186.0,13.0,17.4,16.6,,,,
12.48,33.728,4.89,140,4011.0,5.0,19.0,16.0,Partly Cloudy,Stratocumulus,5/10,4km to 10km
16.7,33.41,5.77,0,1193.0,6.0,18.7,15.3,Clear,,Zero,10km to 20km
14.06,33.241,5.8,74,3560.0,17.0,14.2,13.2,,,,
10.48,33.378,4.39,109,4097.0,21.0,16.9,14.9,,,,
8.97,34.164,1.78,200,721.0,4.0,16.5,14.8,Partly Cloudy,Stratocumulus,4/10,20km to 50km
10.72,33.691,3.37,51,1208.0,20.0,15.0,14.0,,,,
9.63,33.28,5.51,124,4019.0,19.0,15.5,12.0,Rain,Cumulus,10/10,4km to 10km
7.47,34.212,1.1,326,1656.0,9.0,22.1,19.5,Continuous blowing snow,Altocumulus,10/10,10km to 20km
5.88,34.123,0.96,440,4216.0,24.0,13.8,10.6,,,,
7.84,34.23,0.84,319,1628.0,9.0,17.0,14.2,Clear,,Zero,20km to 50km
11.17,33.47,3.82,68,534.0,7.0,21.8,19.2,Partly Cloudy,Cirrostratus,4/10,10km to 20km
15.4,33.497,5.83,75,4008.0,9.0,15.3,13.6,,,,
12.41,33.355,5.92,81,3858.0,12.0,18.0,16.5,Continuous blowing snow,Stratus,10/10,10km to 20km
17.45,33.363,5.54,20,4238.0,29.0,17.0,15.9,Continuous blowing snow,Stratus,10/10,4km to 10km
6.11,34.318,0.4,514,1674.0,4.0,19.5,18.2,Partly Cloudy,Cirrocumulus,6/10,4km to 10km
9.515,33.9139,2.53,150,578.0,3.0,17.5,16.5,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
16.27,33.3386,5.647,4,3793.0,26.0,14.8,13.0,Clear,,Zero,20km to 50km
6.27,34.052,1.6,377,3632.0,15.0,14.0,13.2,,,,
15.48,33.419,5.88,5,22.0,2.0,13.9,12.9,,,,
10.0,33.988,2.47,120,617.0,7.0,15.5,13.1,,,,
12.68,33.027,6.12,41,716.0,21.0,14.0,12.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
14.58,33.336,5.75,96,4144.0,14.0,19.0,16.0,Partly Cloudy,Altocumulus,4/10,10km to 20km
5.86,34.293,0.29,513,3943.0,20.0,14.0,10.4,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
8.03,34.082,1.93,229,1015.0,11.0,17.7,16.0,Continuous blowing snow,Stratus,10/10,20km to 50km
19.22,33.497,5.53,10,60.0,4.0,21.0,19.9,Partly Cloudy,Cirrostratus,9/10 or more but not 10/10,20km to 50km
9.73,33.875,2.89,99,1690.0,25.0,11.2,8.6,,,,
8.02,33.98,2.99,232,3833.0,17.0,17.3,14.9,Partly Cloudy,Stratocumulus,5/10,10km to 20km
6.17,34.163,0.77,446,4112.0,4.0,15.5,12.1,Partly Cloudy,Stratocumulus,4/10,20km to 50km
9.99,33.225,5.04,60,2932.0,16.0,16.1,15.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
10.06,33.358,4.72,125,3999.0,17.0,13.0,10.1,,,,
10.52,33.511,3.64,75,621.0,4.0,18.2,15.7,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
16.5,33.343,5.88,20,1315.0,10.0,16.8,16.8,Continuous blowing snow,Stratus,10/10,10km to 20km
11.89,33.109,5.26,50,4023.0,16.0,13.1,12.0,,,,
11.3,33.273,4.54,70,750.0,3.0,17.3,14.6,,,,
19.391,33.3025,5.296,11,3731.0,16.0,19.0,17.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,1km to 2km
6.04,34.1,1.14,436,3818.0,25.0,16.5,16.0,Partly Cloudy,Altocumulus,5/10,4km to 10km
12.067,33.5392,5.403,30,95.0,9.0,15.1,12.4,,,,
12.07,33.402,4.75,75,617.0,19.0,13.3,11.0,,,,
14.62,33.267,5.92,60,1833.0,10.0,16.2,15.2,,,,
14.66,33.329,5.92,74,3824.0,10.0,19.0,16.0,,,,
13.46,33.6373,5.56,100,4309.0,10.0,17.2,17.0,,,,
11.38,33.515,4.02,30,67.0,22.0,17.1,15.3,Clear,,Zero,10km to 20km
14.65,33.425,5.67,40,1626.0,14.0,13.8,11.3,,,,
8.14,34.024,2.77,200,3796.0,16.0,18.1,16.4,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
8.465,34.2213,1.164,320,859.0,1.0,15.8,13.3,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
10.2,33.484,4.34,139,4013.0,18.0,19.4,16.6,Partly Cloudy,Altocumulus,4/10,20km to 50km
14.78,33.374,6.52,6,67.0,1.0,14.7,12.9,,,,
5.95,34.141,,437,3983.0,12.0,14.1,12.0,,,,
16.94,33.447,5.85,5,27.0,1.0,17.0,16.3,,,,
8.66,33.953,3.17,250,4179.0,11.0,17.5,16.0,Clear,,Zero,10km to 20km
11.3,33.562,4.36,75,623.0,1.0,14.0,10.4,,,,
9.34,33.602,3.79,125,3938.0,17.0,17.7,15.9,Partly Cloudy,Cirrostratus,6/10,20km to 50km
8.59,34.053,2.86,250,4186.0,10.0,18.1,16.9,Continuous blowing snow,Stratus,10/10,20km to 50km
15.26,33.093,5.76,2,,21.0,15.4,14.0,Partly Cloudy,Cirrocumulus,4/10,4km to 10km
10.608,33.5372,3.493,85,1183.0,10.0,16.5,15.0,,,,
6.0,34.274,,518,3799.0,14.0,15.1,12.0,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
9.59,33.966,2.65,170,646.0,1.0,16.8,14.3,,,,
6.227,34.1572,0.672,440,4200.0,8.0,17.0,17.0,,,,
12.43,33.296,5.03,63,69.0,6.0,13.4,12.3,,,,
11.05,33.714,3.39,75,619.0,8.0,19.9,17.4,Clear,,,20km to 50km
8.48,34.216,0.63,250,583.0,6.0,17.4,16.0,Partly Cloudy,Stratus,9/10 or more but not 10/10,10km to 20km
12.46,33.396,5.08,50,80.0,12.0,17.8,16.2,Partly Cloudy,Stratocumulus,5/10,10km to 20km
11.56,33.15,5.39,87,,10.0,15.6,15.0,Continuous blowing snow,Stratus,10/10,4km to 10km
7.0,34.287,0.52,400,1654.0,7.0,17.6,16.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
7.604,34.1426,1.18,300,4109.0,14.0,19.5,17.7,Clear,,Zero,20km to 50km
7.74,34.134,1.6,230,780.0,6.0,17.9,16.8,Continuous blowing snow,Stratus,10/10,20km to 50km
6.19,34.303,0.35,500,1981.0,21.0,16.1,14.1,,,,
10.36,33.685,3.71,60,242.0,6.0,13.0,12.3,Fog,Cirrus,10/10,200m to 500m
7.37,34.136,1.56,326,791.0,9.0,12.8,11.3,,,,
16.53,33.392,5.76,10,,,,,,,,
9.14,33.989,2.67,156,801.0,19.0,15.6,14.6,,,,
14.039,33.3598,5.99,20,63.0,4.0,20.5,19.6,,,,
11.63,33.459,3.74,40,93.0,4.0,14.8,13.6,Continuous blowing snow,Stratus,10/10,4km to 10km
9.49,33.816,3.59,125,2053.0,6.0,18.1,15.4,Partly Cloudy,Altostratus,6/10,10km to 20km
14.944,33.3564,6.197,0,70.0,12.0,23.4,19.8,Partly Cloudy,Cumulus,5/10,20km to 50km
7.83,34.118,1.61,300,4176.0,24.0,15.1,13.3,,,,
8.82,34.225,1.25,231,789.0,5.0,22.8,19.8,Partly Cloudy,Altostratus,5/10,20km to 50km
9.48,33.88,2.83,102,,13.0,16.8,16.8,Fog,Stratus,9/10 or more but not 10/10,2km to 4km
16.55,33.622,5.63,97,4020.0,20.0,16.2,13.1,Partly Cloudy,Stratocumulus,5/10,10km to 20km
6.629,34.1728,0.737,400,3848.0,11.0,18.3,17.2,,,,
12.951,33.3382,4.392,20,21.0,7.0,14.2,11.4,,,,
12.27,33.298,4.67,50,59.0,9.0,13.0,9.0,,,,
15.84,33.077,5.77,74,4342.0,16.0,16.2,13.2,Partly Cloudy,Altocumulus,6/10,10km to 20km
11.371,33.6543,4.678,0,21.0,10.0,13.0,11.0,,,,
10.74,33.149,5.03,85,4012.0,17.0,15.4,15.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
13.874,33.6022,,10,55.0,9.0,17.8,12.9,,,,
12.98,33.098,5.84,75,3822.0,8.0,18.1,16.4,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
12.109,33.736,6.108,1,236.0,9.0,13.0,12.1,,,,
18.276,33.505,5.446,26,4398.0,3.0,17.0,15.5,,,,
8.68,34.177,1.3,250,3791.0,6.0,14.9,13.6,Clear,,Zero,20km to 50km
8.26,34.051,2.36,268,4007.0,9.0,18.0,15.9,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
15.93,33.089,5.76,46,4030.0,6.0,14.0,11.4,,,,
18.618,33.4108,,10,140.0,10.0,19.0,18.1,Partly Cloudy,Stratocumulus,1/10 or less but not zero,20km to 50km
14.53,33.224,5.93,29,4060.0,30.0,14.7,13.2,,,,
15.53,33.402,6.0,1,4237.0,15.0,15.0,13.5,,,,
18.13,33.464,,5,37.0,4.0,17.8,16.9,,,,
17.23,33.272,5.74,20,,,,,,,,
12.689,33.489,5.295,87,4818.0,10.0,18.0,15.2,,,,
12.09,33.581,3.61,14,23.0,5.0,14.0,12.0,Partly Cloudy,Stratocumulus,5/10,20km to 50km
12.77,33.412,5.87,75,1247.0,0.0,14.0,11.8,,,,
14.27,33.691,5.29,140,3977.0,14.0,18.9,17.2,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
5.64,34.143,0.72,437,4026.0,10.0,14.9,14.0,Continuous blowing snow,Stratus,7/10 to 8/10,10km to 20km
10.056,33.4572,3.965,112,3979.0,17.0,19.8,17.0,Continuous blowing snow,Stratus,10/10,10km to 20km
16.283,33.1854,5.638,2,3946.0,4.0,16.9,15.8,Continuous blowing snow,Stratocumulus,7/10 to 8/10,4km to 10km
15.827,33.57,6.09,10,632.0,8.0,17.7,13.3,Partly Cloudy,Cumulus,2/10 to 3/10,4km to 10km
12.93,32.785,5.99,76,4491.0,23.0,15.1,14.5,,,,
9.51,33.91,2.96,119,1177.0,2.0,13.9,11.2,,,,
19.38,33.235,5.34,20,,15.0,17.2,13.9,,,,
11.61,33.62,5.09,75,248.0,1.0,12.0,9.3,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
7.39,34.161,1.26,378,4090.0,3.0,15.5,15.0,,,,
14.464,33.3889,5.953,0,205.0,5.0,14.2,11.8,,,,
14.71,33.372,5.79,31,624.0,8.0,15.6,14.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
9.73,33.93,2.48,125,619.0,3.0,19.9,18.1,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
10.707,33.6104,3.268,75,115.0,13.0,19.0,17.0,,,,
18.052,33.9386,5.479,36,4014.0,15.0,17.7,14.9,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,1km to 2km
14.62,33.36,5.96,0,563.0,24.0,15.0,13.3,Partly Cloudy,Cumulus,7/10 to 8/10,4km to 10km
6.461,34.0903,1.116,382,3932.0,24.0,18.3,17.0,Partly Cloudy,Stratus,5/10,10km to 20km
7.58,33.976,2.9,227,4159.0,15.0,16.0,13.7,,,,
6.23,34.126,0.97,437,4124.0,16.0,17.5,15.9,Continuous blowing snow,Stratus,9/10 or more but not 10/10,10km to 20km
7.82,34.074,2.23,300,4268.0,12.0,19.0,18.0,,,,
15.33,33.526,6.4,5,22.0,3.0,17.1,15.9,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
15.83,33.392,,10,322.0,14.0,16.0,15.5,,,,
10.82,33.95,2.57,204,635.0,8.0,21.1,20.9,Partly Cloudy,Altocumulus,4/10,4km to 10km
8.56,33.979,2.73,200,3870.0,18.0,19.6,18.2,Clear,,Zero,20km to 50km
11.4,33.54,6.08,11,248.0,15.0,11.7,10.2,,,,
9.525,33.7363,3.707,171,4019.0,16.0,15.0,12.0,Partly Cloudy,Cumulus,7/10 to 8/10,20km to 50km
6.21,34.305,0.35,513,4121.0,10.0,15.2,14.2,,,,
13.64,33.403,,10,22.0,8.0,16.0,14.0,,,,
5.32,34.237,0.36,514,4018.0,8.0,17.0,14.5,,,,
12.02,33.389,4.06,50,64.0,1.0,17.8,15.9,,,,
12.174,33.6628,5.055,10,22.0,5.0,9.6,6.5,Partly Cloudy,Stratocumulus,1/10 or less but not zero,10km to 20km
12.36,33.43,6.2,20,4246.0,14.0,12.8,10.1,,,,
11.34,33.628,6.18,5,90.0,2.0,15.1,14.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
17.16,33.374,6.06,5,32.0,6.0,18.0,17.8,Partly Cloudy,Stratus,6/10,4km to 10km
13.88,33.35,5.68,0,32.0,3.0,13.9,10.8,Partly Cloudy,Altocumulus,9/10 or more but not 10/10,10km to 20km
22.392,33.4956,5.81,0,22.0,2.0,20.3,19.6,,,,
9.459,33.8397,2.598,75,291.0,4.0,11.2,9.0,Partly Cloudy,Stratus,1/10 or less but not zero,10km to 20km
9.05,33.8241,3.252,199,4280.0,5.0,18.8,18.0,,,,
8.7,33.975,2.73,200,4089.0,4.0,18.2,16.5,Clear,,Zero,20km to 50km
6.13,34.155,0.81,438,3969.0,27.0,16.5,16.0,,,,
14.987,32.791,5.839,20,4394.0,5.0,14.1,13.1,Continuous blowing snow,Stratus,10/10,500m to 1km
11.499,33.7319,3.149,125,630.0,23.0,14.1,11.9,,,,
9.5,33.722,3.76,201,4238.0,10.0,15.9,13.0,,,,
14.74,33.016,5.69,17,23.0,7.0,19.9,16.3,Clear,,Zero,20km to 50km
11.56,33.517,3.63,40,58.0,2.0,19.0,18.9,Fog,Stratus,10/10,Less than 50m
13.06,33.52,4.91,45,69.0,0.0,15.5,14.0,Fog,Stratus,10/10,Less than 50m
10.56,33.35,3.95,53,4018.0,20.0,14.0,13.8,Continuous blowing snow,Stratus,10/10,10km to 20km
8.386,33.9835,2.952,250,4045.0,9.0,15.8,13.2,Partly Cloudy,Stratus,9/10 or more but not 10/10,4km to 10km
10.87,33.798,2.9,139,1360.0,2.0,17.0,15.5,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
9.629,33.7896,2.968,100,1004.0,10.0,15.2,13.7,,,,
15.26,33.118,5.83,45,3734.0,18.0,14.7,12.5,,,,
13.21,33.483,5.39,50,113.0,6.0,13.8,13.0,,,,
7.19,34.017,2.47,318,4194.0,18.0,19.4,16.7,Partly Cloudy,Cumulus,4/10,10km to 20km
13.32,33.343,5.51,84,4254.0,12.0,17.7,15.0,,,,
18.75,33.499,5.53,10,599.0,2.0,19.2,17.0,,,,
7.58,34.158,1.46,250,1435.0,8.0,16.2,14.2,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
18.234,33.6457,5.794,0,22.0,8.0,19.0,18.0,Partly Cloudy,Stratus,1/10 or less but not zero,20km to 50km
11.9,33.744,3.1,101,625.0,18.0,22.9,20.1,Partly Cloudy,Cirrus,1/10 or less but not zero,50km or more
14.66,33.025,5.69,6,24.0,6.0,15.3,11.9,,,,
7.029,34.0011,2.095,271,3965.0,12.0,14.2,13.8,,,,
11.68,33.71,2.88,101,863.0,11.0,11.9,9.2,,,,
10.24,33.807,2.88,85,755.0,12.0,15.3,14.0,,,,
9.51,33.808,4.42,203,4261.0,10.0,17.5,16.4,Partly Cloudy,Stratocumulus,6/10,10km to 20km
9.66,33.7,3.16,120,3766.0,5.0,18.0,16.2,Clear,,Zero,20km to 50km
7.6,34.117,1.66,269,772.0,21.0,12.2,10.9,,,,
18.13,33.3565,5.721,20,649.0,4.0,19.5,18.5,,,,
15.491,33.5311,6.67,5,24.0,6.0,17.4,13.7,Partly Cloudy,Cumulus,7/10 to 8/10,4km to 10km
6.42,34.255,0.33,511,574.0,15.0,13.8,10.9,Partly Cloudy,Cumulus,1/10 or less but not zero,20km to 50km
5.71,34.257,0.38,517,990.0,13.0,11.3,9.6,,,,
8.99,33.915,2.31,150,1733.0,18.0,12.5,10.0,,,,
16.8,33.577,5.75,9,79.0,0.0,16.3,14.5,,,,
14.79,33.609,6.1,11,33.0,2.0,16.0,15.4,Fog,Stratus,5/10,4km to 10km
6.521,34.1328,0.877,400,4085.0,8.0,19.0,17.5,Continuous blowing snow,Stratus,10/10,10km to 20km
8.416,34.2382,1.075,300,765.0,3.0,20.0,18.4,Partly Cloudy,Cirrostratus,2/10 to 3/10,2km to 4km
5.66,34.139,0.83,500,3761.0,0.0,18.8,17.9,,,,
17.98,33.49,5.54,0,3932.0,9.0,16.2,15.0,,,,
9.91,33.78,3.68,168,4129.0,3.0,19.1,17.9,Partly Cloudy,Stratocumulus,5/10,20km to 50km
11.75,33.222,5.36,70,1360.0,6.0,18.1,15.4,Clear,,Zero,20km to 50km
14.76,31.328,,1,56.0,8.0,14.6,12.8,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
6.62,34.125,1.15,318,4031.0,6.0,17.4,15.3,,,,
7.55,34.188,0.9,300,4166.0,30.0,14.0,13.1,,,,
10.14,33.405,4.9,70,4020.0,7.0,15.0,13.8,,,,
17.07,33.3,5.59,0,4174.0,18.0,16.0,14.0,,,,
8.98,33.915,3.14,139,1201.0,20.0,13.9,13.0,,,,
15.77,33.061,6.05,69,,,,,,,,
7.71,34.329,0.46,440,1186.0,17.0,20.9,18.9,Partly Cloudy,Stratus,5/10,20km to 50km
16.24,32.96,5.78,0,3691.0,16.0,16.3,15.2,,,,
14.49,33.578,5.27,5,23.0,4.0,15.1,13.9,,,,
8.63,34.258,1.27,269,1339.0,10.0,18.4,17.9,,,,
18.36,32.85,5.57,10,3987.0,27.0,16.7,14.9,,,,
12.934,33.4597,4.537,40,827.0,7.0,14.8,12.8,,,,
11.046,33.0067,5.558,70,4242.0,15.0,14.9,13.2,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
7.65,34.304,0.53,400,1639.0,22.0,16.9,15.2,,,,
7.915,34.0992,1.57,270,2551.0,5.0,12.9,12.0,,,,
10.3,32.702,6.19,50,3002.0,13.0,17.6,16.3,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
16.35,33.074,5.83,30,4222.0,17.0,16.1,14.2,,,,
11.392,33.5812,3.848,40,65.0,5.0,16.6,13.5,Partly Cloudy,Cumulus,5/10,10km to 20km
11.7,33.46,5.09,48,1429.0,16.0,16.0,15.0,Clear,,Zero,Less than 50m
14.22,33.105,5.95,20,2154.0,17.0,11.5,9.6,,,,
16.04,33.358,5.8,10,1179.0,3.0,16.0,14.7,Partly Cloudy,Stratocumulus,5/10,10km to 20km
12.105,33.3818,5.147,50,162.0,6.0,21.5,19.6,Partly Cloudy,Stratocumulus,4/10,20km to 50km
7.68,34.118,1.58,270,2218.0,15.0,14.7,12.5,,,,
14.45,33.372,5.79,10,104.0,0.0,13.2,11.9,,,,
6.71,34.145,0.95,400,3840.0,11.0,19.9,15.2,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,10km to 20km
9.323,33.9631,2.14,150,1321.0,32.0,11.8,9.0,,,,
18.18,33.285,5.53,10,3863.0,18.0,19.0,17.0,Clear,,Zero,10km to 20km
10.79,33.51,3.69,40,106.0,25.0,14.5,12.8,,,,
14.41,33.411,5.47,104,4064.0,12.0,15.8,14.5,,,,
14.53,33.65,,1,241.0,12.0,14.8,14.1,Continuous blowing snow,Altostratus,10/10,10km to 20km
9.48,34.121,1.43,199,581.0,4.0,18.1,17.0,,,,
9.78,33.93,2.54,120,872.0,12.0,19.1,17.2,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
13.01,33.538,5.22,31,60.0,5.0,19.3,16.1,Partly Cloudy,Cumulus,7/10 to 8/10,50km or more
10.85,32.895,5.64,101,4124.0,9.0,14.9,12.9,,,,
15.15,33.217,5.99,30,139.0,9.0,18.0,16.8,,,,
8.56,34.112,1.94,200,1462.0,6.0,15.8,13.5,Continuous blowing snow,Stratus,10/10,10km to 20km
16.53,33.589,5.91,10,1655.0,2.0,15.3,14.3,,,,
8.854,34.0367,2.037,231,3806.0,7.0,14.9,12.9,Continuous blowing snow,Stratus,10/10,2km to 4km
9.04,34.306,1.03,268,856.0,11.0,14.0,11.8,,,,
15.332,33.5349,5.645,9,1588.0,8.0,12.8,9.1,Partly Cloudy,Stratocumulus,2/10 to 3/10,20km to 50km
14.267,33.3655,5.996,20,4234.0,22.0,14.9,13.5,,,,
19.704,33.6949,6.242,5,25.0,7.0,20.0,17.8,Partly Cloudy,Altostratus,9/10 or more but not 10/10,4km to 10km
5.19,34.192,0.52,533,4189.0,9.0,19.5,17.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
10.08,33.802,3.17,100,562.0,4.0,14.2,12.5,Partly Cloudy,Cirrus,1/10 or less but not zero,20km to 50km
14.01,33.3,6.57,2,41.0,2.0,14.6,13.4,,,,
14.01,33.264,5.87,68,3944.0,10.0,16.0,14.3,Partly Cloudy,Stratus,4/10,10km to 20km
11.2,33.631,3.47,100,235.0,1.0,16.1,15.4,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
8.28,33.931,3.27,230,4020.0,23.0,15.5,13.7,Partly Cloudy,Cirrus,1/10 or less but not zero,10km to 20km
6.23,34.305,0.33,515,1298.0,14.0,15.8,14.9,,,,
13.79,33.638,6.75,10,57.0,14.0,13.5,12.5,,,,
8.86,34.155,1.62,230,3997.0,19.0,13.0,12.0,Partly Cloudy,Cirrostratus,1/10 or less but not zero,20km to 50km
5.66,34.281,0.3,514,2503.0,19.0,11.7,10.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
14.682,33.2866,5.941,2,4165.0,10.0,15.0,12.7,Partly Cloudy,Stratocumulus,6/10,10km to 20km
12.731,33.4734,4.887,75,950.0,10.0,13.2,10.0,,,,
8.82,33.892,3.53,200,4229.0,23.0,14.0,12.5,,,,
17.43,33.45,8.99,0,21.0,2.0,18.1,16.9,Fog,Stratus,10/10,1km to 2km
13.89,32.952,6.08,10,3679.0,9.0,16.0,15.3,Continuous blowing snow,Altocumulus,9/10 or more but not 10/10,20km to 50km
14.27,33.374,5.94,2,3894.0,23.0,11.5,8.0,,,,
6.14,34.246,0.49,437,1812.0,0.0,15.6,14.5,,,,
12.7,33.482,4.92,25,567.0,13.0,16.3,15.1,Continuous blowing snow,Stratus,10/10,4km to 10km
17.75,33.147,5.61,15,4159.0,19.0,18.0,16.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
17.68,33.591,5.7,10,1581.0,18.0,18.0,15.8,Continuous blowing snow,Cirrostratus,10/10,20km to 50km
14.92,33.318,6.04,75,4261.0,5.0,19.0,16.7,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
11.288,33.5664,3.832,60,1382.0,18.0,17.0,16.1,,,,
14.26,33.487,5.56,32,64.0,7.0,17.5,14.5,Clear,,Zero,4km to 10km
8.42,34.047,2.15,201,4125.0,22.0,13.3,12.7,Rain,Stratus,10/10,1km to 2km
17.39,33.141,5.67,50,4223.0,22.0,17.5,15.7,,,,
