Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
34.18,0.91,318,1306.0,6.0,14.9,13.8,,,,
33.251,5.78,94,4038.0,8.0,14.8,12.0,Partly Cloudy,Altocumulus,6/10,10km to 20km
33.535,5.95,2,1336.0,11.0,13.9,13.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
34.329,0.3,521,1668.0,7.0,18.0,15.7,,,,
33.753,3.68,99,4225.0,17.0,16.3,15.4,Continuous blowing snow,Stratus,10/10,4km to 10km
34.198,0.68,379,579.0,10.0,14.5,10.4,Partly Cloudy,Stratocumulus,7/10 to 8/10,4km to 10km
34.191,0.53,500,3992.0,7.0,19.0,18.5,Partly Cloudy,Cumulonimbus,9/10 or more but not 10/10,2km to 4km
34.223,1.27,230,1186.0,6.0,16.7,15.0,Clear,,Zero,Less than 50m
33.9522,2.441,150,2501.0,23.0,11.9,10.4,Partly Cloudy,Stratocumulus,4/10,4km to 10km
33.573,3.68,70,1201.0,10.0,19.1,17.5,Clear,,Zero,20km to 50km
33.2557,4.917,100,3633.0,16.0,16.8,15.8,Continuous blowing snow,Stratus,10/10,4km to 10km
33.543,5.76,10,3833.0,13.0,17.8,16.5,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.325,5.47,10,4097.0,9.0,17.8,15.1,Partly Cloudy,Stratocumulus,4/10,20km to 50km
34.142,0.67,500,4238.0,25.0,17.8,16.4,Continuous blowing snow,Stratus,10/10,4km to 10km
33.454,3.86,58,3979.0,10.0,13.9,11.9,,,,
33.719,4.35,60,2298.0,18.0,14.9,14.0,Continuous blowing snow,Altostratus,10/10,4km to 10km
34.2342,0.406,518,720.0,22.0,14.4,12.9,,,,
33.569,4.41,32,746.0,34.0,,,Clear,,Zero,10km to 20km
34.2521,0.464,442,1309.0,9.0,13.5,11.0,,,,
33.392,4.13,85,4240.0,6.0,12.8,12.2,Continuous blowing snow,Stratus,10/10,4km to 10km
33.643,3.85,98,939.0,24.0,18.7,17.2,Clear,,Zero,20km to 50km
34.257,0.38,519,4035.0,17.0,15.0,14.4,,,,
33.347,6.21,15,19.0,5.0,13.5,9.6,,,,
33.923,2.91,100,1611.0,4.0,17.7,15.9,,,,
33.266,5.86,30,4022.0,11.0,12.0,11.0,,,,
33.24,5.9,0,4145.0,22.0,12.1,8.3,,,,
33.179,5.35,48,4080.0,10.0,18.0,15.3,Continuous blowing snow,Cirrocumulus,10/10,10km to 20km
33.053,6.06,113,3973.0,30.0,11.7,9.0,,,,
33.94,5.69,0,4131.0,20.0,15.0,10.2,Partly Cloudy,Cumulus,5/10,
34.2682,0.687,400,623.0,10.0,17.0,15.0,Partly Cloudy,,Zero,10km to 20km
34.296,0.39,512,995.0,10.0,16.0,13.8,Clear,,Zero,20km to 50km
33.387,5.14,150,4208.0,6.0,16.8,16.1,,,,
34.049,2.33,200,1312.0,9.0,14.6,13.0,,,,
33.651,3.33,26,64.0,7.0,14.3,10.8,Partly Cloudy,Stratocumulus,4/10,20km to 50km
33.561,,10,102.0,1.0,16.9,14.8,,,,
34.107,1.46,270,1313.0,19.0,15.1,13.2,Continuous blowing snow,Cirrus,1/10 or less but not zero,4km to 10km
33.468,4.69,21,34.0,9.0,17.1,16.5,Partly Cloudy,Altocumulus,1/10 or less but not zero,10km to 20km
33.276,5.8,45,4229.0,6.0,13.2,11.0,,,,
33.312,5.26,9,3975.0,5.0,20.4,19.8,,,,
34.2519,0.432,514,4102.0,9.0,15.9,14.2,,,,
33.28,5.19,125,4177.0,32.0,12.9,9.8,Partly Cloudy,Stratocumulus,5/10,10km to 20km
33.054,5.85,50,3944.0,11.0,17.0,16.1,,,,
34.098,1.91,266,1904.0,10.0,14.1,12.2,,,,
33.536,,10,61.0,6.0,16.0,15.0,,,,
33.046,5.94,13,1315.0,8.0,17.0,15.0,Partly Cloudy,Cirrus,1/10 or less but not zero,4km to 10km
33.46,6.12,16,709.0,22.0,12.0,9.5,,,,
34.2397,0.884,320,870.0,2.0,15.1,14.9,,,,
33.606,4.18,75,3628.0,5.0,16.0,14.5,Continuous blowing snow,Stratus,10/10,4km to 10km
33.484,5.98,0,3581.0,22.0,11.3,8.7,,,,
33.2917,5.096,69,571.0,9.0,18.1,15.9,Partly Cloudy,Cirrostratus,2/10 to 3/10,20km to 50km
33.626,5.74,30,4017.0,4.0,13.1,11.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.2958,6.045,10,25.0,7.0,19.9,17.8,Partly Cloudy,Stratus,2/10 to 3/10,20km to 50km
34.3073,0.289,515,1433.0,1.0,14.9,13.3,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
33.471,5.74,50,2151.0,30.0,14.5,12.2,Partly Cloudy,Cirrus,2/10 to 3/10,10km to 20km
33.603,4.1,75,105.0,14.0,16.5,15.2,,,,
34.0095,2.441,250,3862.0,1.0,14.6,14.0,Partly Cloudy,Stratus,2/10 to 3/10,10km to 20km
33.737,5.16,150,4086.0,11.0,19.0,17.3,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.336,5.82,37,4205.0,19.0,15.5,14.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.34,0.28,572,885.0,12.0,16.0,16.0,,,,
33.62,4.07,50,77.0,15.0,12.9,11.9,,,,
33.0132,6.903,2,2632.0,4.0,14.7,14.4,,,,
33.807,3.07,140,3796.0,13.0,13.0,12.1,,,,
33.671,6.08,20,1362.0,18.0,14.0,9.5,Partly Cloudy,Cumulus,1/10 or less but not zero,50km or more
33.374,5.88,75,1632.0,10.0,14.1,14.1,Drizzle,Stratus,10/10,2km to 4km
33.181,,10,4180.0,7.0,16.3,13.6,,,,
33.16,6.12,50,4510.0,28.0,18.0,17.5,,,,
33.298,5.72,30,614.0,5.0,19.0,18.1,,,,
34.269,0.7,381,620.0,4.0,18.9,18.1,Continuous blowing snow,Stratus,10/10,4km to 10km
34.0895,1.132,380,4039.0,4.0,19.9,15.4,Partly Cloudy,Cirrostratus,5/10,20km to 50km
33.67,6.33,10,37.0,8.0,15.2,14.6,Fog,,10/10,2km to 4km
33.952,3.357,250,4093.0,16.0,18.0,16.8,,,,
34.152,1.75,199,1215.0,6.0,20.0,19.1,Continuous blowing snow,Altostratus,10/10,4km to 10km
34.239,0.03,576,574.0,5.0,12.3,10.8,,,,
33.16,5.67,100,4221.0,17.0,17.5,15.1,Continuous blowing snow,Stratus,10/10,4km to 10km
34.224,1.33,319,565.0,10.0,18.6,14.9,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
34.123,1.29,378,3917.0,12.0,13.2,10.6,,,,
34.192,0.84,400,1871.0,14.0,15.1,13.8,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
34.216,1.6,199,1470.0,7.0,12.5,8.4,,,,
34.044,2.29,300,406.0,15.0,19.6,16.7,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,20km to 50km
33.334,6.2,12,615.0,7.0,14.5,13.2,Continuous blowing snow,Stratus,10/10,10km to 20km
34.15,1.07,378,3928.0,6.0,18.5,17.5,Clear,,Zero,50km or more
33.516,5.06,40,69.0,15.0,16.1,14.9,Partly Cloudy,Stratus,7/10 to 8/10,4km to 10km
33.423,6.15,20,126.0,9.0,19.9,19.1,,,,
32.878,5.71,2,3020.0,1.0,15.9,13.6,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
33.263,5.98,20,816.0,15.0,17.0,16.3,Partly Cloudy,Altostratus,5/10,10km to 20km
34.05,2.09,300,4057.0,8.0,15.2,14.9,,,,
33.139,5.8,70,3775.0,10.0,16.0,14.3,Clear,,Zero,10km to 20km
33.238,5.78,23,,23.0,16.6,15.5,Continuous blowing snow,Altostratus,9/10 or more but not 10/10,4km to 10km
33.581,4.04,40,1641.0,12.0,14.0,13.1,,,,
34.314,0.33,515,1350.0,18.0,18.2,16.8,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
33.488,4.15,70,308.0,9.0,18.1,13.8,,,,
34.227,0.43,500,3422.0,1.0,17.0,14.8,,,,
33.51,5.88,0,79.0,7.0,16.8,15.3,,,,
33.163,5.9,71,4062.0,16.0,18.1,16.5,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.0721,1.715,300,3955.0,13.0,15.8,14.0,,,,
33.185,4.85,138,4274.0,16.0,18.3,16.6,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.134,0.88,438,3999.0,22.0,17.7,15.8,Clear,,Zero,20km to 50km
33.615,6.62,10,980.0,12.0,16.5,15.4,Continuous blowing snow,Stratus,10/10,4km to 10km
33.414,5.27,60,1195.0,9.0,15.5,15.3,,,,
33.8122,5.645,100,4068.0,7.0,19.0,17.0,,,,
34.165,1.55,267,628.0,3.0,14.9,13.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
34.021,2.65,200,3817.0,10.0,13.9,12.5,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
33.391,6.62,0,73.0,8.0,18.0,17.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
34.202,1.44,268,644.0,2.0,15.0,14.1,,,,
33.005,5.83,100,4018.0,16.0,16.3,15.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.5287,,60,614.0,3.0,20.2,17.2,,,,
33.549,5.7,75,4210.0,12.0,14.8,11.1,,,,
34.118,2.04,200,1175.0,5.0,17.5,16.5,Partly Cloudy,Cirrus,2/10 to 3/10,10km to 20km
33.4692,5.424,0,23.0,16.0,16.9,13.7,,,,
33.4449,5.414,75,4146.0,14.0,18.0,18.0,Fog,Stratus,10/10,50m to 200m
33.949,2.85,229,4132.0,7.0,15.2,13.8,,,,
34.221,0.45,519,1525.0,15.0,15.5,13.5,,,,
34.1705,1.343,229,574.0,3.0,15.0,13.9,Partly Cloudy,Cirrostratus,2/10 to 3/10,20km to 50km
33.1971,5.938,30,3397.0,7.0,13.9,12.0,Partly Cloudy,Cirrostratus,4/10,4km to 10km
34.245,0.38,569,3824.0,14.0,14.2,12.0,,,,
34.1857,0.801,300,577.0,30.0,16.8,12.8,Partly Cloudy,Cirrostratus,1/10 or less but not zero,4km to 10km
34.171,1.53,269,3922.0,8.0,20.1,17.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.005,6.49,11,3273.0,15.0,13.0,14.4,Partly Cloudy,Cirrocumulus,4/10,20km to 50km
34.1128,0.977,381,4169.0,16.0,16.8,14.0,,,,
33.262,5.56,1,720.0,12.0,17.2,15.4,,,,
33.39,6.02,65,4009.0,4.0,19.0,18.0,,,,
33.9971,2.115,171,562.0,14.0,15.2,14.8,,,,
33.522,5.83,10,,,,,,,,
33.91,2.66,98,831.0,10.0,20.1,19.7,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
34.1933,1.35,250,953.0,14.0,18.7,18.0,,,,
34.0141,2.002,150,1180.0,8.0,19.0,18.0,,,,
33.613,6.26,4,35.0,1.0,16.0,18.3,Partly Cloudy,Cirrostratus,2/10 to 3/10,10km to 20km
34.1675,0.681,441,4165.0,11.0,19.1,16.2,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,20km to 50km
34.0259,2.284,170,973.0,20.0,13.7,10.4,Partly Cloudy,Cumulus,5/10,10km to 20km
33.369,5.0,70,102.0,17.0,14.2,11.8,,,,
33.594,3.7,175,3966.0,12.0,20.1,19.8,Fog,Altostratus,10/10,1km to 2km
34.165,2.1,200,,8.0,19.9,17.3,Partly Cloudy,Stratocumulus,1/10 or less but not zero,10km to 20km
33.07,5.61,0,4118.0,19.0,18.7,17.6,Clear,,Zero,10km to 20km
33.5586,5.445,2,19.0,2.0,20.0,16.0,Partly Cloudy,Stratocumulus,4/10,20km to 50km
33.3349,5.402,26,4066.0,24.0,19.0,16.5,,,,
33.518,4.18,84,4111.0,18.0,16.0,13.1,Partly Cloudy,Cumulus,1/10 or less but not zero,2km to 4km
33.346,4.83,125,3774.0,16.0,16.9,14.9,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
33.487,3.91,50,81.0,18.0,15.0,15.0,,,,
33.7536,5.886,10,856.0,5.0,19.0,17.5,,,,
33.132,5.7,15,4089.0,16.0,17.7,16.0,,,,
33.77,3.34,195,4188.0,30.0,11.0,9.8,,,,
34.085,1.74,300,3826.0,15.0,16.1,15.9,,,,
33.498,5.49,20,27.0,10.0,18.8,16.4,Partly Cloudy,Stratus,4/10,20km to 50km
34.031,,250,3735.0,3.0,17.0,15.4,,,,
34.039,2.14,170,618.0,8.0,17.9,15.1,Clear,,Zero,20km to 50km
33.426,6.03,20,619.0,14.0,15.1,13.8,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
34.192,1.41,252,1300.0,8.0,12.7,11.0,Partly Cloudy,Stratocumulus,5/10,200m to 500m
33.968,2.47,169,4269.0,2.0,16.0,15.5,,,,
33.483,3.9,86,868.0,5.0,15.3,14.0,,,,
33.988,2.75,231,4100.0,9.0,17.0,14.7,,,,
34.3028,0.48,441,748.0,25.0,17.6,14.5,Partly Cloudy,Cumulus,4/10,20km to 50km
34.149,0.63,515,4236.0,18.0,16.2,15.5,,,,
34.129,1.84,200,3867.0,13.0,15.2,13.5,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.787,3.13,85,245.0,16.0,12.4,12.0,Fog,Stratus,10/10,50m to 200m
33.5255,,10,1335.0,9.0,14.1,12.9,,,,
34.194,0.52,510,4019.0,14.0,16.9,16.2,,,,
33.253,5.46,31,3924.0,3.0,18.3,16.5,,,,
33.547,,10,50.0,23.0,14.3,11.2,Partly Cloudy,Altocumulus,1/10 or less but not zero,20km to 50km
33.538,3.85,150,3738.0,12.0,18.1,15.5,,,,
33.6425,4.656,30,73.0,24.0,13.0,11.6,,,,
33.248,5.43,32,3753.0,18.0,17.0,15.0,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.6474,5.781,2,21.0,18.0,17.9,15.1,Partly Cloudy,Cumulus,6/10,20km to 50km
34.0455,1.747,200,4187.0,22.0,12.8,11.3,Partly Cloudy,Stratocumulus,5/10,20km to 50km
33.407,6.0,59,3927.0,11.0,17.9,14.8,,,,20km to 50km
34.2992,0.362,514,618.0,8.0,18.5,17.5,Drizzle,Stratus,10/10,10km to 20km
33.931,2.61,112,1315.0,26.0,12.5,9.5,Partly Cloudy,Stratocumulus,5/10,10km to 20km
33.569,4.2,69,610.0,8.0,15.0,12.2,,,,
33.166,6.02,30,4094.0,10.0,17.3,16.9,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.4866,7.571,2,27.0,7.0,17.1,15.2,,,,
34.237,0.5,438,3679.0,21.0,15.7,14.8,,,,
32.626,6.112,30,3925.0,7.0,15.3,14.9,,,,
33.456,5.76,10,3802.0,19.0,16.5,14.5,,,,
33.357,5.78,10,4130.0,13.0,15.6,15.6,,,,
33.742,3.19,84,1198.0,14.0,17.9,17.0,Partly Cloudy,Altostratus,1/10 or less but not zero,20km to 50km
33.81,2.98,167,4013.0,18.0,15.0,13.3,Continuous blowing snow,Altostratus,10/10,4km to 10km
33.996,2.59,154,1841.0,15.0,15.1,14.1,Continuous blowing snow,Stratus,10/10,10km to 20km
33.569,7.46,5,18.0,4.0,19.3,17.4,Fog,Stratus,10/10,4km to 10km
34.248,0.65,400,623.0,5.0,15.5,14.7,Partly Cloudy,Cirrus,9/10 or more but not 10/10,4km to 10km
33.407,5.26,116,4094.0,20.0,20.5,18.4,Clear,,Zero,10km to 20km
33.5893,5.979,2,99.0,25.0,16.0,15.0,Partly Cloudy,Stratus,4/10,10km to 20km
33.595,5.24,95,3817.0,5.0,17.4,17.3,,,,
33.422,5.95,1,4114.0,19.0,16.5,14.8,Clear,,Zero,4km to 10km
33.568,4.83,50,1177.0,1.0,18.4,15.1,Clear,,Zero,20km to 50km
33.1262,5.406,45,2190.0,14.0,16.7,15.2,Partly Cloudy,Stratocumulus,5/10,10km to 20km
33.493,5.63,45,1850.0,16.0,16.2,14.8,,,,
34.109,1.58,300,3067.0,4.0,17.0,15.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.134,1.93,200,1563.0,21.0,13.7,11.0,Partly Cloudy,Cumulus,1/10 or less but not zero,20km to 50km
34.232,0.86,377,608.0,1.0,12.1,11.4,,,,
33.38,4.27,125,3769.0,13.0,14.5,14.2,,,,
34.315,0.33,500,1175.0,30.0,14.2,12.2,Clear,,,10km to 20km
33.795,2.96,150,641.0,5.0,17.3,16.3,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
34.112,1.03,377,4430.0,14.0,16.1,15.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
33.512,5.29,20,575.0,17.0,14.2,12.2,Partly Cloudy,Cumulus,5/10,20km to 50km
32.814,6.23,30,4223.0,14.0,17.2,16.3,,,,
34.068,2.27,198,993.0,17.0,13.1,11.5,Partly Cloudy,Cumulus,5/10,10km to 20km
34.119,1.276,300,3831.0,15.0,18.5,17.5,Continuous blowing snow,Altostratus,9/10 or more but not 10/10,4km to 10km
34.001,2.41,169,753.0,21.0,13.6,11.9,,,,
34.077,2.16,317,4195.0,20.0,18.0,15.6,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.446,6.13,20,128.0,4.0,16.2,14.0,,,,
33.9547,2.418,140,727.0,21.0,16.9,14.8,Clear,,Zero,4km to 10km
33.296,5.77,41,56.0,4.0,17.9,16.1,Partly Cloudy,Cirrus,4/10,10km to 20km
34.155,0.93,462,4058.0,8.0,19.0,17.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.112,1.96,150,643.0,9.0,20.8,19.1,Clear,,Zero,10km to 20km
33.351,5.35,72,3792.0,4.0,17.5,15.1,,,,
33.386,4.74,140,3865.0,16.0,14.8,12.9,,,,
32.982,6.08,74,4126.0,9.0,18.2,17.1,,,,
33.408,4.66,70,3645.0,3.0,18.3,16.5,,,,
33.3506,5.829,50,718.0,13.0,17.9,16.8,Continuous blowing snow,Altostratus,9/10 or more but not 10/10,4km to 10km
32.913,5.95,50,4102.0,19.0,14.1,11.2,Partly Cloudy,Stratocumulus,5/10,20km to 50km
33.282,5.853,75,3692.0,16.0,18.5,16.0,Partly Cloudy,Altocumulus,4/10,50km or more
33.2334,5.656,20,1191.0,2.0,14.1,12.8,Continuous blowing snow,Stratus,10/10,2km to 4km
33.5073,5.993,10,602.0,2.0,13.9,11.8,,,,
34.259,0.44,521,4181.0,25.0,13.9,12.8,,,,
34.066,2.11,199,775.0,8.0,16.9,15.0,Clear,,Zero,20km to 50km
33.371,5.9,50,3977.0,,,,,,,
33.484,8.864,2,24.0,10.0,21.2,17.9,Clear,,Zero,20km to 50km
34.216,1.23,300,1177.0,0.0,18.5,16.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
33.203,6.06,2,4019.0,15.0,13.1,10.9,Partly Cloudy,Altocumulus,4/10,20km to 50km
34.209,1.39,268,1692.0,4.0,17.3,16.9,Clear,,Zero,20km to 50km
33.561,5.89,20,35.0,10.0,16.6,14.7,,,,
33.049,5.98,20,4322.0,12.0,14.9,13.0,Partly Cloudy,Stratocumulus,4/10,10km to 20km
34.289,0.51,500,614.0,0.0,18.8,16.1,,,,
34.145,1.2,200,726.0,12.0,11.5,11.0,,,,
34.215,1.46,250,615.0,15.0,19.5,17.6,Partly Cloudy,Cirrus,4/10,20km to 50km
33.23,4.95,70,3694.0,6.0,16.9,15.0,,,,
33.29,3.93,32,59.0,8.0,15.2,15.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
34.261,1.04,319,1636.0,14.0,15.6,13.3,Partly Cloudy,Altocumulus,2/10 to 3/10,10km to 20km
34.028,2.16,200,568.0,7.0,15.2,14.0,Continuous blowing snow,Stratus,10/10,10km to 20km
33.084,5.35,125,4024.0,13.0,16.0,12.6,,,,
34.231,0.42,400,576.0,8.0,14.7,12.9,,,,
33.3863,5.626,50,624.0,4.0,21.5,20.0,,,,
34.1845,1.434,171,1649.0,12.0,16.0,15.1,,,,
34.2426,0.404,516,3836.0,25.0,14.0,11.8,Partly Cloudy,Cirrostratus,4/10,4km to 10km
34.33,0.29,500,766.0,18.0,17.5,16.4,Partly Cloudy,Cirrocumulus,1/10 or less but not zero,10km to 20km
34.2607,0.814,300,1659.0,10.0,12.0,11.8,Fog,Stratus,10/10,1km to 2km
34.296,0.59,437,824.0,4.0,18.9,17.1,,,,
33.0067,5.922,20,3776.0,19.0,14.9,12.7,,,,
33.471,6.11,0,30.0,5.0,23.0,15.8,,,,
32.94,6.28,38,,,,,,,,
33.996,2.48,168,948.0,32.0,14.2,11.0,Partly Cloudy,Cumulus,5/10,20km to 50km
33.4636,4.062,100,3812.0,4.0,17.2,15.2,,,,
33.4017,5.608,20,4116.0,8.0,19.8,17.2,Continuous blowing snow,Stratocumulus,6/10,10km to 20km
33.714,,1,4052.0,10.0,19.0,17.0,Continuous blowing snow,Stratus,10/10,20km to 50km
33.9,3.87,232,4011.0,3.0,14.8,13.8,Partly Cloudy,Cirrocumulus,6/10,10km to 20km
33.628,4.2,200,4039.0,17.0,18.1,15.4,,,,
33.618,4.0,70,1299.0,29.0,15.6,15.0,Clear,,Zero,10km to 20km
33.417,4.0,50,70.0,3.0,16.1,15.1,Fog,Stratus,10/10,1km to 2km
33.14,5.84,50,3910.0,16.0,17.5,15.5,,,,
33.851,2.78,125,1363.0,5.0,16.5,15.1,Clear,,Zero,20km to 50km
33.302,5.19,110,4358.0,5.0,17.0,15.9,,,,
33.246,5.85,40,3943.0,15.0,15.0,13.3,Clear,,Zero,20km to 50km
33.197,6.15,50,4231.0,4.0,13.4,11.1,Clear,,Zero,4km to 10km
34.037,2.06,268,2178.0,15.0,13.8,12.5,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
33.224,5.48,1,4116.0,14.0,17.5,17.5,,,,
34.197,1.07,413,1362.0,30.0,14.6,12.9,,,,
33.561,5.36,45,4006.0,8.0,17.9,15.9,,,,
33.5979,3.676,70,79.0,17.0,17.5,17.0,,,,
33.401,6.06,12,93.0,17.0,13.2,11.9,Drizzle,Nimbostratus,10/10,2km to 4km
34.241,0.53,438,3649.0,5.0,15.0,14.1,,,,
34.1162,1.532,300,3953.0,10.0,17.7,17.7,,,,
33.238,5.56,106,4104.0,3.0,20.0,17.0,Clear,,Zero,10km to 20km
33.241,5.41,125,4229.0,17.0,16.2,16.2,,,,
34.04,,200,4074.0,3.0,18.5,16.5,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
34.067,1.53,300,3628.0,20.0,13.5,13.0,Continuous blowing snow,Stratus,10/10,4km to 10km
33.8366,3.23,200,4190.0,28.0,16.8,15.5,,,,
33.61,3.81,150,4016.0,6.0,17.0,14.7,,,,
33.349,5.76,58,4083.0,24.0,16.2,13.4,Partly Cloudy,Stratocumulus,5/10,4km to 10km
33.387,6.06,20,38.0,13.0,17.3,12.5,,,,
33.969,2.39,119,957.0,11.0,12.1,11.0,Continuous blowing snow,Stratus,10/10,10km to 20km
33.935,3.07,169,4099.0,15.0,14.0,13.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.5426,4.868,50,1376.0,10.0,17.9,16.0,Partly Cloudy,Stratus,7/10 to 8/10,50km or more
33.391,5.85,20,30.0,7.0,17.0,14.4,,,,
33.582,6.45,0,852.0,3.0,19.9,18.0,Continuous blowing snow,Stratus,10/10,4km to 10km
33.998,2.4,139,683.0,8.0,16.5,14.3,,,,
33.46,5.57,126,4220.0,12.0,16.2,12.2,,,,
34.274,0.57,400,1593.0,14.0,13.5,12.2,,,,
34.094,2.13,272,1554.0,16.0,15.9,15.9,,,,
34.166,0.68,436,924.0,4.0,12.9,11.3,,,,
34.046,2.18,300,4069.0,7.0,13.5,11.5,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
33.603,3.65,85,1209.0,21.0,17.9,16.0,,,,
34.295,0.38,500,3928.0,5.0,13.5,10.9,,,,
33.6142,6.208,0,61.0,7.0,23.0,20.1,Partly Cloudy,Cirrostratus,6/10,20km to 50km
34.046,2.28,150,1204.0,21.0,13.9,12.8,Continuous blowing snow,Nimbostratus,10/10,4km to 10km
33.342,5.85,9,121.0,11.0,21.9,17.8,Clear,,Zero,50km or more
33.062,5.95,60,3999.0,20.0,16.8,15.0,,,,
34.271,0.62,400,1021.0,12.0,15.8,14.1,Continuous blowing snow,Stratus,10/10,20km to 50km
33.187,5.53,29,4231.0,14.0,18.9,15.8,,,,
33.3446,5.716,30,1190.0,17.0,19.6,16.7,Partly Cloudy,Stratocumulus,5/10,20km to 50km
34.117,1.93,233,2177.0,15.0,12.9,10.2,,,,
33.659,6.01,0,78.0,14.0,13.9,10.7,Partly Cloudy,Altocumulus,4/10,20km to 50km
34.076,1.58,125,740.0,13.0,12.3,10.9,Partly Cloudy,Altocumulus,5/10,20km to 50km
34.2415,0.95,300,1177.0,3.0,15.4,14.2,,,,
33.697,6.47,5,69.0,9.0,15.2,14.9,,,,
32.961,5.89,39,3825.0,16.0,19.0,17.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.636,5.61,21,69.0,16.0,12.0,10.3,,,,
33.1678,5.267,101,4013.0,20.0,14.7,12.6,,,,
33.305,5.47,3,29.0,18.0,15.3,12.5,Partly Cloudy,Cirrostratus,2/10 to 3/10,20km to 50km
33.646,5.57,40,3782.0,22.0,17.1,15.9,Continuous blowing snow,Stratus,10/10,4km to 10km
33.348,6.1,2,722.0,15.0,17.8,15.9,,,,
33.614,4.71,50,256.0,12.0,10.2,9.0,Fog,,,4km to 10km
34.279,1.25,250,850.0,3.0,14.4,13.5,,,,
33.821,3.47,200,3813.0,14.0,17.5,16.0,,,,
33.7972,3.573,199,4047.0,12.0,15.9,12.2,,,,
33.519,5.57,17,1459.0,6.0,19.7,18.3,Partly Cloudy,Cirrostratus,5/10,20km to 50km
34.069,2.24,318,3847.0,21.0,18.9,17.1,,,,
34.101,1.58,228,1397.0,5.0,11.0,10.7,,,,
33.532,4.2,125,3814.0,9.0,17.2,15.3,,,,
34.18,1.11,318,3821.0,16.0,14.7,13.5,Clear,,Zero,10km to 20km
33.596,4.35,50,1693.0,15.0,15.2,13.4,,,,
33.5032,4.207,75,1480.0,6.0,17.6,15.0,,,,
33.5432,4.965,0,833.0,28.0,17.1,15.0,Clear,,Zero,20km to 50km
33.26,5.61,5,24.0,3.0,13.0,11.9,Partly Cloudy,Stratus,1/10 or less but not zero,10km to 20km
33.272,6.09,2,4030.0,16.0,13.1,10.1,,,,
34.242,0.05,534,577.0,13.0,18.7,17.0,Partly Cloudy,Stratocumulus,5/10,10km to 20km
33.487,6.06,10,110.0,6.0,15.3,15.3,,,,
34.146,2.04,270,4159.0,11.0,16.1,14.9,,,,
33.6809,3.351,84,617.0,5.0,18.8,15.0,Partly Cloudy,Stratus,1/10 or less but not zero,20km to 50km
33.2711,5.806,75,4046.0,18.0,18.8,17.8,,,,
33.093,5.99,10,3797.0,13.0,14.0,11.5,Clear,,Zero,20km to 50km
34.151,2.1,231,1176.0,5.0,16.2,14.8,Partly Cloudy,Cirrus,1/10 or less but not zero,20km to 50km
33.388,6.07,10,131.0,18.0,13.2,10.9,,,,
33.266,5.83,31,3870.0,18.0,15.5,14.4,Partly Cloudy,Stratocumulus,4/10,4km to 10km
33.22,5.97,38,,17.0,15.4,15.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
33.365,5.94,10,664.0,14.0,19.0,17.0,Clear,,Zero,20km to 50km
